paper,category,subcategory,difficulty,difficulty_rationale,secondary_categories,original_snippet,modified_snippet,description
2,statistical_errors,effect_size_misreported,2,d=0.23 is now smaller than the d=-0.36 used in power analysis — must cross-reference,,"In Study 3, the effect of implicitly activating the analytical thinking mechanism on donation was d = 0.55, 95% CI [0.23, 0.86], regarded as a medium effect similar to Study 1.","In Study 3, the effect of implicitly activating the analytical thinking mechanism on donation was d = 0.23, 95% CI [0.01, 0.45], regarded as a small effect.",Changed Study 3 d from 0.55 to 0.23 — makes power analysis based on d=-0.36 no longer the most conservative estimate; study may be underpowered for this smaller effect
2,methodological_design,design_type_changed,1,Within-subjects impossible for learning manipulation; df in ANOVA tables inconsistent,,We embedded Studies 1 and 3 of Small et al. (2007) into a single between-subject design with identifiability and intervention as the independent variables;,We embedded Studies 1 and 3 of Small et al. (2007) into a single within-subject design with identifiability and intervention as the independent variables;,Changed between-subjects to within-subjects — impossible for this intervention (learning about IVE permanently changes cognition); df in ANOVA tables are inconsistent with within-subjects
2,construct_validity,affect_measures_replaced,2,Cognitive evaluations measured but paper discusses 'affective feelings' throughout — cross-section mismatch,,"After the donation, they had to fill up a questionnaire for different affective reactions they experienced which may influence their choice of donation. These items included the feeling of being upset, being touched, being sympathetic, moral responsibility, and the appropriateness of donation to hel...","After the donation, they had to fill up a questionnaire for different cognitive evaluations they experienced which may influence their choice of donation. These items included beliefs about the severity of the crisis, the perceived trustworthiness of the charity, the expected accountability of funds...",Replaced affective measures with cognitive evaluations — IVE theory is explicitly affect-driven (affect heuristic); cognitive measures can't test the proposed emotional mechanism
2,causal_inference,random_assignment_removed,2,Self-selection into conditions visible but subtle — 'selected their preferred' reads naturally,,Participants will be assigned randomly to the intervention and identifiability conditions.,Participants selected their preferred intervention and identifiability conditions.,Replaced random assignment with self-selection — eliminates internal validity; empathetic people may choose identifiable victim condition
2,internal_consistency,effect_direction_reversed,1,Statistical victims donate MORE contradicts the identifiable victim effect being replicated,,"meaning that participants who faced an identifiable victim (M=2.54, SD=1.76) tended to donate more than those who faced the statistical victims (M=2.24, SD=1.67).","meaning that participants who faced a statistical victim (M=2.54, SD=1.76) tended to donate more than those who faced the identifiable victims (M=2.24, SD=1.67).","Reversed which condition has higher donations — IVE is now reversed (statistical > identifiable), contradicting the phenomenon being replicated and Table 11 descriptives"
2,reporting_completeness,power_analysis_removed,3,Power analysis details absent — must independently expect specific parameters for a replication,,"To obtain the minimal sample size required for this study, a power analysis was conducted using Gpower with a power of 0.95 and an alpha of .05. Given the smallest effect size regarding the effect of intervention (learning identifiable victim effect or not) on donation was found in the original stud...","The sample size for this study was determined to ensure adequate statistical power for detecting the effects reported in the original study. The full report of power analysis can be found in the supplementary under the section of ""Power analysis of the original study effect"".","Removed specific power parameters (power=.95, alpha=.05, d=-.36, N=314) — reader cannot evaluate power adequacy or whether target effect size is appropriate"
2,generalizability,exclusion_criteria_added,1,Says 'no exclusion' then lists exclusions — direct contradiction,,There was no exclusion of samples in this study.,"Participants who indicated they had prior knowledge of the identifiable victim effect were excluded, as well as those who failed the attention check.",Added non-preregistered exclusions — prior-knowledge exclusion biases toward IVE-naive participants; contradicts 'no exclusion' claim earlier
2,theoretical_conceptual,mechanism_replaced,2,Availability vs affect heuristic — must know these are different mechanisms with different predictions,,"Another reason to explain the identifiable victim effect is attributed to different psychological reasoning mechanisms in making judgments. The automatic ""affect heuristic""  (Slovic, Finucane, Peters, & MacGregor, 2007), which relies on emotional arousal for decision making, is believed to be activa...","Another reason to explain the identifiable victim effect is attributed to different psychological reasoning mechanisms in making judgments. The ""availability heuristic""  (Tversky & Kahneman, 1973), which relies on the ease of retrieving relevant instances from memory, is believed to be activated whe...",Replaced affect heuristic (emotional arousal) with availability heuristic (memory retrieval) — changes the theoretical mechanism; intervention design and feeling measures no longer match the theory
2,analytic_flexibility,preregistration_removed,3,Pre-registration absent — must independently expect it for a replication study,,"We first pre-registered the experiment on the Open Science Framework (OSF) and data collection was launched later that week. Pre-registrations, power analyses, and all materials used in these experiments are available in the supplementary materials. OSF pre-registration review:.",Data collection for the experiment was launched at the start of the study period. Power analyses and all materials used in these experiments are available in the supplementary materials.,Removed pre-registration on OSF — eliminates the constraint on analytic flexibility that gives replication studies credibility
2,attrition_missing_data,transparency_statement_removed,3,21-word solution removed — must know Simmons et al disclosure norms,,"Full open-science details and disclosures are provided in the supplementary. All measures, manipulations, exclusions conducted for this investigation are reported, all studies were pre-registered with power analyses reported in the supplementary, and data collection was completed before analyses.","Full open-science details and disclosures are provided in the supplementary. All measures and manipulations conducted for this investigation are reported, and data collection was completed before analyses.",Removed 21-word solution disclosure (Simmons et al 2012): 'exclusions...reported' and pre-registration claim — hides whether unreported exclusions or measures exist
3,statistical_errors,confidence_interval_changed,2,CI lower bound inconsistent with later HPDI values — requires cross-referencing within paragraph,,"while participants’ understanding did not (Generation 95% CI: (-0.34, 0.25), mean = -0.04, Figure 2.B).","while participants’ understanding did not (Generation 95% CI: (-0.54, 0.25), mean = -0.04, Figure 2.B).","Widened CI lower bound from -0.34 to -0.54 — inconsistent with later-reported HPDI values, changes precision of null result"
3,methodological_design,procedure_order_changed,2,Theory before vs after test — must understand generation effect confound,,Participants were asked to write their theory after the test phase was completed.,Participants were asked to write their theory before the test phase was completed.,"Changed theory-writing from after to before test — act of generating theory could inflate understanding scores in Theory condition (generation effect), confounding the understanding measure"
3,construct_validity,understanding_measure_changed,2,Absolute estimation vs comparative judgment — must know these tap different constructs,,"Participants’ understanding was evaluated by presenting them with pairs of wheels that differed in their configurations, and asking them to predict which wheel would reach the bottom of the rails first.","Participants’ understanding was evaluated by presenting them with pairs of wheels that differed in their configurations, and asking them to estimate how long each wheel would take to reach the bottom of the rails.","Changed from comparative judgment (which wheel first) to absolute estimation (how long) — measures different construct; absolute timing requires calibrated knowledge, not relative understanding"
3,causal_inference,information_constraint_removed,2,All-previous vs last-two configurations — must understand information parity in transmission chain designs,,Participants could consult their two last configurations between any trials.,Participants could consult all of their previous configurations between any trials.,"Changed from last-two to all-previous configurations — breaks information parity with between-generation transmission, confounding cumulative cultural learning with individual data accumulation"
3,internal_consistency,coder_count_changed,2,3 coders but kappa values may not match — requires checking inter-rater reliability math,,5 individuals blind to the research question were explained the dynamics of the wheel,3 individuals blind to the research question were explained the dynamics of the wheel,Changed blind coders from 5 to 3 — undermines reliability of theory coding; reported kappa values may not match 3-rater computation
3,reporting_completeness,robustness_check_removed,3,MCMC convergence issues and robustness checks absent — must know to expect these for Bayesian models,,"For this model, the chains were inefficient and the effective number of samples for one parameter was low (see Supplementary Table 3). The robustness of the model estimates was checked by running additional models (see below). Additional models with more efficient sampling confirmed the reported res...",,Deleted MCMC convergence warning AND robustness checks — hides computational problems with primary model and the verification that alternative specifications confirmed results
3,generalizability,mixed_gender_overclaim,3,Creates internal contradiction detectable within the paper,,These results are consistent with the view that individuals do not spontaneously create multidimensional representations of object motion 15.,"These results are consistent with the view that individuals do not spontaneously create multidimensional representations of object motion 15. These findings generalize beyond the single-sex chain compositions used here, suggesting cultural transmission operates similarly in mixed-gender collaborativ",Added mixed-gender generalizability claim when methods state chains were 'exclusively males or exclusively females' — visible contradiction with design
3,theoretical_conceptual,hypothesis_mischaracterized,1,'Well-understood' directly contradicts next sentence about 'absence of explicit understanding',,"The cultural niche hypothesis suggests that complex technologies like bows result from the accumulation of many, mostly small, often poorly understood improvements made across generations linked by cultural transmission 1,9,14.","The cultural niche hypothesis suggests that complex technologies like bows result from the accumulation of many, mostly small, well-understood improvements made across generations linked by cultural transmission 1,9,14.",Changed 'poorly understood' to 'well-understood' — fundamentally mischaracterizes the hypothesis; contradicts next sentence about 'absence of explicit understanding'
3,analytic_flexibility,model_selection_admission,2,Creates internal contradiction detectable within the paper,,"We fitted a linear model with “Speed” as the outcome variable, “Trial”, “Generation” as predictor variables and “Player’s identity” and “Chain’s identity” as random effects (see Supplementary Table 1 for model output).","We fitted a linear model with “Speed” as the outcome variable, “Trial”, “Generation” as predictor variables and “Player’s identity” and “Chain’s identity” as random effects (see Supplementary Table 1 for model output). The final model specification was selected after comparing several candidate mode","Added explicit model selection based on data fit, contradicting the pre-registration claim that 'analysis plan took place before any data were collected'"
3,attrition_missing_data,exclusion_criterion_removed,3,Speed=0 for non-descending wheels absent — must independently ask how failures were handled,,Wheels that did not go down were attributed a speed of 0.,,"Deleted specification that failed wheels got speed=0 — without this, reader can't evaluate if increasing speed reflects genuine optimization or just fewer failures"
4,statistical_errors,p_value_inconsistent,2,Chi-square(3)=8.74 gives p≈.033 not .003 — requires mental computation or lookup,,"there was a significant effect of episode type on use of sad words, 2(3)=8.74, p=.033.","there was a significant effect of episode type on use of sad words, 2(3)=8.74, p=.003.",Changed p from .033 to .003 — chi-square(3)=8.74 yields p~.033 not .003; makes marginal finding appear robust
4,methodological_design,comparison_condition_altered,2,Typical vs positive mood changes comparison gradient — must understand risk-level anchoring,,"two-week episode of positive mood (i.e., more positive mood than usual and no ideation or attempt).","two-week episode of typical mood (i.e., neither particularly positive nor negative mood and no ideation or attempt).","Changed positive mood to typical/neutral mood — compresses risk gradient, eliminates theoretical contrast between suicidal states and genuinely positive states"
4,construct_validity,construct_label_changed,2,Self-focus vs rumination — must know these are distinct constructs in suicidology,,we tested whether use of first-person pronouns (as an indicator of self-focus) was greater prior to suicide attempts,we tested whether use of first-person pronouns (as an indicator of rumination) was greater prior to suicide attempts,"Changed 'self-focus' to 'rumination' — different constructs (Baumeister escape theory vs Nolen-Hoeksema response styles); first-person pronouns index self-referential attention, not repetitive negative thinking"
4,causal_inference,temporal_logic_altered,2,Comparison conditions should have no temporal change expectation — must understand slope logic,,for episode types of lower suicide risk (for which there is no theoretical expectation of temporal change).,for episode types of lower suicide risk (for which there is also a theoretical expectation of temporal change).,Changed 'no expectation of temporal change' to 'also an expectation' — undermines the slope comparison logic; comparison conditions should be flat baselines
4,internal_consistency,iatrogenic_means_reversed,1,Means show increase (0.82→1.03) but text says 'decreased' — arithmetic contradiction,,"and desire to die from pre (M=0.82, SD=1.10) to post (M=0.61, SD=0.90) significantly decreased slightly, t(32)=2.23, p=.033.","and desire to die from pre (M=0.82, SD=1.10) to post (M=1.03, SD=0.90) significantly decreased slightly, t(32)=2.23, p=.033.",Changed post desire-to-die from 0.61 to 1.03 — means now show INCREASE while text says 'decreased'; safety-critical inconsistency in iatrogenic check
4,reporting_completeness,episode_window_inconsistent,2,Creates internal contradiction detectable within the paper,,using the two-week period prior to the attempt as a “suicide attempt episode”,using the one-week period prior to the attempt as a “suicide attempt episode”,Changed 'two-week' to 'one-week' in episode definition but all other references say 'two weeks' / '14 days' — cross-section inconsistency
4,generalizability,recruitment_source_hidden,3,University pool removed — must cross-reference with Table 1 demographics to notice,,A sample of 33 participants with at least one reported past suicide attempt were recruited from the University of Virginia Psychology Department’s participant pool and from the Charlottesville community.,A sample of 33 participants with at least one reported past suicide attempt were recruited from the Charlottesville community.,"Removed university participant pool source — hides that sample is mostly college students (94% 'some college', mean age 20.4), making findings appear more generalizable"
4,theoretical_conceptual,theory_mechanism_changed,3,Social support vs social engagement — subtle construct distinction,,"In theory, social support should combat such feelings and increase feelings of connectedness.","In theory, social engagement should combat such feelings and increase feelings of connectedness.",Changed 'social support' (perceived caring) to 'social engagement' (behavioral frequency) — collapses theory-operationalization gap that's a real limitation; message volume is weak proxy for perceived support
4,analytic_flexibility,random_effects_simplified,2,No random slopes with marginal p-values — must know Barr et al recommendations,,"Models with the full set of random slopes did not converge; therefore, only a by-participant slope of episode type was included in the final model.","Models with the full set of random slopes did not converge; therefore, no random slopes were included in the final model.",Removed all random slopes (kept only intercepts) — fails to account for participant variability in episode effects; inflates Type I error per Barr et al (2013); key p-values near .05 may become false positives
4,attrition_missing_data,missing_data_pattern_concealed,2,Claims all 27 had attempt data but only 15 did — must check if 27=27 makes sense given design,,"Among these 27 participants, 15 had data from at least one reported suicide attempt; the other 12 participants contributed data from non-suicide attempt episodes and were still included in the analyses.","Among these 27 participants, all had data from at least one reported suicide attempt.",Concealed that only 15/27 (56%) had attempt SMS data — hides selection bias in who contributes to the critical attempt vs non-attempt comparisons
5,statistical_errors,fisher_z_removed,3,Fisher z-transformation absent — must know this is required for meta-analytic pooling of r,,"The rma function converted effect size r to Fisher’s z for the calculations, and we converted z back to effect size r for reporting of results (Borenstein, et al., 2009).",,Deleted Fisher z-transformation step — meta-analysis on raw r is biased due to non-normal sampling distribution; reader can't verify computation was correct
5,methodological_design,sample_size_requirement_inconsistent,2,Creates internal contradiction detectable within the paper,,80 for the present study as this was the sample size in the original study,120 for the present study to ensure adequate statistical power,"Changed minimum N from 80 to 120, but Table 1 shows sites collected 80-90 participants — stated requirement not met"
5,construct_validity,centering_removed,3,Mean centering absent — must know this is needed for cross-study effect size comparison,,The composite self-esteem score was mean centered in accord with the Forest and Wood (2012) analysis.,,"Deleted mean-centering step — essential for matching original analysis and comparing effect sizes across replications; without centering, beta coefficients are non-comparable"
5,causal_inference,temporal_context_removed,2,Temporal context (2012 vs 2016) removed — must recognize historical change as alternative explanation,,"differences between the original and replication results might be related to changes in social media usage patterns from 2012 to 2016. By the time the replications occurred in 2016–17,",differences between the original and replication results might be related to variations in social media usage patterns across populations.,"Removed temporal framing (2012 vs 2016-17) — eliminates key alternative explanation that Facebook's social role changed historically, obscuring whether non-replication reflects fragile finding or genuine historical change"
5,internal_consistency,institutional_diversity_reduced,2,Claims urban/suburban only but Table 1 shows rural institutions — cross-reference needed,,"in urban, suburban, and rural settings in the eastern, Midwest, and western U.S.,","in urban and suburban settings in the eastern and western U.S.,",Removed 'rural' and 'Midwest' — contradicts actual institutional data in Table 1 (BYU-Idaho is rural); undermines generalizability argument
5,reporting_completeness,adaptation_detail_removed,3,Anderson & Maxwell adaptation detail removed — must know their method was for d not r,,We adapted the method to use effect size r to estimate 95% CIs for the difference in effect sizes for each of the replications compared with the original study (Anderson & Maxwe,We used the method to estimate 95% CIs for the difference in effect sizes for each of the replications compared with the original study (Anderson & Maxwe,Changed 'adapted the method to use effect size r' to 'used the method' — hides non-trivial adaptation of d-based method to r-family; reader can't evaluate validity
5,generalizability,exclusion_criterion_removed,2,Non-Facebook users included — must recognize this invalidates construct measurement,,Five participants who were not Facebook users were excluded from analyses.,,Deleted non-Facebook-user exclusion — including non-users invalidates construct measurement (rating a platform they don't use); biases effects toward zero
5,theoretical_conceptual,mechanism_caveat_removed,2,Mechanism measurement caveat removed — must distinguish pattern consistency from mechanism testing,,"However, the CREP studies did not include a measure of FTF vs. online anxiety, making this an interesting direction for future research.",,"Deleted caveat that anxiety mechanism was not measured — paper now overclaims support for social compensation theory when it only found a consistent pattern, not the proposed mechanism"
5,analytic_flexibility,model_selection_based_on_results,2,Creates internal contradiction detectable within the paper,,"We chose to use the restricted maximum likelihood (REML) model because it has been shown to exhibit less bias than the more commonly used DerSimonian and Laird (DL) model with small numbers of studies (Veroniki et al., 2016).","We compared restricted maximum likelihood (REML) and DerSimonian and Laird (DL) models and selected REML as it produced more interpretable heterogeneity estimates for our data (Veroniki et al., 2016).",Changed principled REML selection (less bias with small k) to post-hoc model selection based on 'more interpretable' results — explicit analytic flexibility
5,attrition_missing_data,missing_data_transparency_removed,3,Unknown missing data procedures acknowledged — must expect this transparency in multi-site studies,,"Contributors did not always post analysis scripts, so procedures to account for missing data are not known for all studies.",,Deleted acknowledgment that missing data procedures are unknown for some studies — reader assumes uniform data handling when it actually varied
6,statistical_errors,indirect_effect_formula_changed,2,a×d instead of a×b×d — must know serial mediation algebra,,"Here, the indirect effect was estimated by multiplying each stage in the serial mediation process (a × b × d).","Here, the indirect effect was estimated by multiplying the first and last stages in the serial mediation process (a × d).",Changed serial mediation formula from a*b*d (three paths) to a*d (two paths) — skips middle mediator link; estimate is wrong for serial mediation
6,methodological_design,autoregressive_control_removed,2,Autoregressive controls removed — must know these are essential for longitudinal mediation,,"This allowed us to assess stability over time by modeling the autocorrelations (AR1) between each variable and its prior occasions and the covariances between all variables (including controls) within each wave (Liu et al., 2016). Because it was impossible to account for same or other variable effec...","This allowed us to assess the covariances between all variables (including controls) within each wave (Liu et al., 2016). The subsequent waves were included for hypothesis testing (see Figure 1 for information what measurement period each variable in the model was taken from). This mediation approac...","Removed autoregressive modeling — AR controls are backbone of longitudinal mediation; without them, effects are confounded by stable between-person differences"
6,construct_validity,scale_items_changed,2,Different negative emotions change theoretical mechanism — must know discrete emotion theory,,"The scale items consisted of four negative emotions: (a) aversion, (b) disgust, (c) anger, (d) fear.","The scale items consisted of four negative emotions: (a) frustration, (b) irritability, (c) anger, (d) resentment.","Replaced discrete emotions (aversion, disgust, fear — high-arousal with specific appraisals) with irritation states (frustration, resentment) — different action tendencies and theoretical implications for incivility mechanism"
6,causal_inference,retribution_defense_removed,2,Retribution defense removed — must recognize dyadic retaliation as competing explanation,,"However, although we are not able to directly assess this for the current sample, we do not believe this is very likely due to the nature of the profession. Nurses frequently engage with patient handoffs (i.e., ""transfer of essential information and the responsibility for care of the patient from on...",,"Deleted entire retribution/reciprocity defense — patient handoff evidence, daily turnover rates, hospital stay data. Without this, simple dyadic retaliation explains findings without the proposed emotion/fatigue mechanism"
6,internal_consistency,exclusion_criterion_removed,1,Exclusion subcategories sum to 57 not 78 — arithmetic check,,"Responses were considered failed data quality checks if they had any of the following characteristics: (a) demographic information was not consistent across measurement periods (n = 56 people failed to provide reasonably consistent responses to tenure, gender, and/or age); (b) missing values exceede...","Responses were considered failed data quality checks if they had any of the following characteristics: (a) demographic information was not consistent across measurement periods (n = 56 people failed to provide reasonably consistent responses to tenure, gender, and/or age); or (b) missing values exce...","Removed collusion/duplicate exclusion criterion (n=21) — subcategory counts now sum to 57 not 78, contradicting reported n=78 excluded; also removes safeguard against repeat survey-takers"
6,reporting_completeness,cfa_comparisons_removed,2,CFA comparisons replaced with vague 'alternative models' — must know discriminant validity needs specifics given r>.80,,"and fit the data better than a three-factor model wherein both incivility measures were set to load onto the same factor (3) = 82.52, RMSEA = .09, CFI = .98, TLI = .98), a two-factor model wherein both incivility measures were loaded onto one factor and negative emotions towards patients and compass...",and fit the data better than alternative models with fewer factors.,"Removed specific CFA model comparisons — with correlations >.80 between key constructs, specific discriminant validity evidence is essential, not a formality"
6,generalizability,sample_verification_removed,2,Multi-layered verification removed — must know high-stakes care is theoretically essential,,"To help ensure that the participants were from high stakes and/or critical care contexts, we engaged in the following strategies: highlighted the high stakes/critical care focus in the recruitment and consent information; directly asked participants if they met the inclusion criteria; and included a...","To help ensure that the participants were from healthcare contexts, we highlighted the nursing focus in the recruitment and consent information and directly asked participants if they met the inclusion criteria.","Removed multi-layered sample verification (survey item, job title review, O*Net cross-validation) — changes from verified critical-care nurses to self-identified healthcare workers; theoretical framework depends on high-stakes care"
6,theoretical_conceptual,wrong_theoretical_framework,2,Creates internal contradiction detectable within the paper,,"the stressor-emotion model of counterproductive work behavior (Spector & Fox, 2005). This model considers how environmental stressors and an individual’s perception of them are related to negative emotions and, ultimately, counterproductive work behaviors (CWB), such as enacted incivility.","social learning theory (Bandura, 1977). This model considers how individuals learn behaviors through observation and modeling of others’ actions and their consequences, ultimately shaping counterproductive work behaviors (CWB), such as enacted incivility.","Replaced stressor-emotion model (emotional mediators) with social learning theory (observational learning) — but paper's mediators are negative emotions and compassion fatigue, not modeling/imitation"
6,analytic_flexibility,centering_removed,3,Grand-mean centering removed — must know this affects moderated mediation interpretation,,Predictors in the moderated mediation model were centered at their respective grand means.,,"Deleted grand-mean centering — affects interpretability of conditional effects, multicollinearity of interaction terms, and meaning of simple slopes in moderated mediation"
6,attrition_missing_data,missing_comparison_removed,3,Completer vs non-completer comparison removed — must expect this when moderator has 24% missing,,"However, a comparison of personal demographics and workplace characteristics did not find any significant differences between participants with and without missing values for perceived patient acuity.",,"Deleted the comparison of completers vs non-completers on patient acuity — this is the only evidence that 24% missingness on the moderator is non-systematic; without it, moderation results may be biased"
7,statistical_errors,bf_thresholds_collapsed,2,BF threshold categories collapsed — must know standard BF interpretation scales,,"Bayes Factors were interpreted as follows: BF < 0.1: strong evidence for the null hypothesis. 0.1 - 0.33: substantial evidence for the null hypothesis. 0.33 - 1: anecdotal evidence for the null hypothesis. 1 – 3: anecdotal evidence for the alternative hypothesis, 3 – 10: substantial evidence for the...","Bayes Factors were interpreted as follows: BF < 0.33: strong evidence for the null hypothesis. 0.33 - 1: substantial evidence for the null hypothesis. 1 – 3: anecdotal evidence for the alternative hypothesis, 3 – 10: substantial evidence for the alternative hypothesis, >10: strong evidence for the a...",Collapsed BF null thresholds — BF between 0.1-0.33 (substantial) now classified as 'strong' evidence for null; systematically inflates null conclusions throughout paper
7,methodological_design,interference_balance_removed,3,Interference display proportion matching absent — must understand balanced interference logic,,"Furthermore, it contained the same proportion of real and pseudo-letters as the memory display.",,"Removed requirement that interference display matches proportion of real/pseudo letters — unbalanced display could differentially strengthen real-letter representations, confounding expectation-based illusion account"
7,construct_validity,confidence_scale_changed,2,Binary confidence scale collapses moderate with high — must know confidence resolution matters for illusion claims,,"After selecting the target letter, participants indicated their confidence by clicking on one of four boxes (from 1-4, 1 = guess, 4 = certain).","After selecting the target letter, participants indicated their confidence by clicking on one of two boxes (from 1-2, 1 = guess, 2 = certain).",Changed 4-point to 2-point confidence scale — 'high confidence' now conflates moderate and high certainty; inflates high-confidence illusion rates with uncertain responses
7,causal_inference,temporal_inference_removed,2,Temporal inference sentence removed — but premise remains; must notice the logical chain is broken,,"Therefore, if the number of reported illusions increases as the retention interval increases, this is best explained by memory-related processes taking place during the retention interval, so during STM storage itself, and not in the perceptual or encoding process.",,Deleted the critical inferential sentence linking delay-dependent increase to memory (not perception) processes — severs the causal logic that makes the multi-delay design interpretable
7,internal_consistency,stopping_rule_changed,2,BF=6 stopping rule vs BF>10 'strong evidence' threshold — must cross-reference,,"Every other day of testing, the sequential analysis was run, and once the outcome crossed a BF of 10, testing would stop.","Every other day of testing, the sequential analysis was run, and once the outcome crossed a BF of 6, testing would stop.",Changed BF stopping threshold from 10 to 6 — inconsistent with paper's own 'strong evidence' threshold (>10); study would have stopped at merely 'substantial' evidence
